Link,Name
http://www.wikidata.org/entity/Q19666647,निर्मल सिंह
http://www.wikidata.org/entity/Q31331972,सुरूजू राम
http://www.wikidata.org/entity/Q3764697,कोंगारा जग्गाया
http://www.wikidata.org/entity/Q3635516,मोहन बाबू
http://www.wikidata.org/entity/Q15548224,टी. एन. सीमा
http://www.wikidata.org/entity/Q4852513,बलराज मधोक
http://www.wikidata.org/entity/Q7240142,प्रेमकृष्ण खन्ना
http://www.wikidata.org/entity/Q31338597,वीरेश्वर त्यागी
http://www.wikidata.org/entity/Q31338931,डाक्टर सीताराम
http://www.wikidata.org/entity/Q3109128,उमा भारती
http://www.wikidata.org/entity/Q18705213,सत्य नारायण गौरीसरिया
http://www.wikidata.org/entity/Q31333421,राजेन्द्र सिंह यादव
http://www.wikidata.org/entity/Q15730374,रीना चौधरी
http://www.wikidata.org/entity/Q4648141,ऐ. एम्. सहय
http://www.wikidata.org/entity/Q4730267,अल्लादी कृष्णस्वामी अय्यर
http://www.wikidata.org/entity/Q31334986,बालेन्दु भूषण प्रताप सिंह
http://www.wikidata.org/entity/Q7396684,सच्चिदानन्द सिन्हा
http://www.wikidata.org/entity/Q31332079,हेमवती नन्दन बहुगुणा
http://www.wikidata.org/entity/Q16736907,राजन विचारे
http://www.wikidata.org/entity/Q31330620,प्रभुदयाल
http://www.wikidata.org/entity/Q19605243,अशोक कुमार वालिया
http://www.wikidata.org/entity/Q4901743,भीम सिंह (राजनेता)
http://www.wikidata.org/entity/Q8049760,यशपाल आर्य
http://www.wikidata.org/entity/Q31323056,ज्योत्सना श्रीवास्तव
http://www.wikidata.org/entity/Q16902250,रविन्द्र कुशवाहा
http://www.wikidata.org/entity/Q735363,कृष्णास्वामी कस्तूरीरंगन
http://www.wikidata.org/entity/Q7786660,डॉ. थोकचोम मेइन्या
http://www.wikidata.org/entity/Q53568490,चंदा सिंह गौर
http://www.wikidata.org/entity/Q31337366,मुल्कीराज
http://www.wikidata.org/entity/Q64141271,विजय कुमार मांझी
http://www.wikidata.org/entity/Q31330513,नफीसुल हसन
http://www.wikidata.org/entity/Q7546539,स्मृति ईरानी
http://www.wikidata.org/entity/Q16736887,सावित्री बाई फुले
http://www.wikidata.org/entity/Q6167055,जय प्रकाश सिंह भोगता
http://www.wikidata.org/entity/Q16010331,मीरा दत्त गुप्ता
http://www.wikidata.org/entity/Q31314135,सुभाष पासी
http://www.wikidata.org/entity/Q31336068,अर्जुन राम
http://www.wikidata.org/entity/Q7280227,राधेश्याम गुप्ता
http://www.wikidata.org/entity/Q31334822,बृजराज सिंह
http://www.wikidata.org/entity/Q1397644,कांशीराम
http://www.wikidata.org/entity/Q7396755,सचिन्द्र लाल सिंह
http://www.wikidata.org/entity/Q16902238,राहुल कासवान
http://www.wikidata.org/entity/Q31323596,श्याम किशोर शुक्ल
